Date,Demand,Temperature
1/1/2014 0:00,3.794,18.05
1/1/2014 1:00,3.418,17.2
1/1/2014 2:00,3.152,16.45
1/1/2014 3:00,3.026,16.65
1/1/2014 4:00,3.022,16.4
1/1/2014 5:00,3.055,17.95
1/1/2014 6:00,3.18,19.7
1/1/2014 7:00,3.276,20.6
1/1/2014 8:00,3.467,22.35
1/1/2014 9:00,3.62,23.7
1/1/2014 10:00,3.73,24.8
1/1/2014 11:00,3.858,25.9
1/1/2014 12:00,3.851,25.3
1/1/2014 13:00,3.839,23.65
1/1/2014 14:00,3.861,20.7
1/1/2014 15:00,3.912,19.15
1/1/2014 16:00,4.082,22.65
1/1/2014 17:00,4.118,22.65
1/1/2014 18:00,4.011,22.4
1/1/2014 19:00,3.965,22.15
1/1/2014 20:00,3.932,22.05
1/1/2014 21:00,3.693,22.15
1/1/2014 22:00,3.585,21
1/1/2014 23:00,4.001,19.5
1/2/2014 0:00,3.623,18.45
1/2/2014 1:00,3.249,17.25
1/2/2014 2:00,3.047,16.3
1/2/2014 3:00,3.004,15.7
1/2/2014 4:00,3.104,15.5
1/2/2014 5:00,3.361,15.45
1/2/2014 6:00,3.749,15.65
1/2/2014 7:00,3.91,16.5
1/2/2014 8:00,4.075,18.1
1/2/2014 9:00,4.165,17.8
1/2/2014 10:00,4.202,19.1
1/2/2014 11:00,4.225,19.85
1/2/2014 12:00,4.265,20.3
1/2/2014 13:00,4.301,21.05
1/2/2014 14:00,4.381,22.8
1/2/2014 15:00,4.484,21.65
1/2/2014 16:00,4.552,20.15
1/2/2014 17:00,4.44,19.3
1/2/2014 18:00,4.233,18.75
1/2/2014 19:00,4.145,17.9
1/2/2014 20:00,4.116,17.35
1/2/2014 21:00,3.831,16.85
1/2/2014 22:00,3.712,16.35
1/2/2014 23:00,4.121,15.7
1/3/2014 0:00,3.764,14.95
1/3/2014 1:00,3.394,14.5
1/3/2014 2:00,3.159,14.35
1/3/2014 3:00,3.081,14.45
1/3/2014 4:00,3.216,14.6
1/3/2014 5:00,3.468,14.6
1/3/2014 6:00,3.838,14.7
1/3/2014 7:00,4.012,15.45
1/3/2014 8:00,4.183,16.7
1/3/2014 9:00,4.269,18.3
1/3/2014 10:00,4.28,20.1
1/3/2014 11:00,4.31,20.65
1/3/2014 12:00,4.315,19.45
1/3/2014 13:00,4.233,20.2
1/3/2014 14:00,4.188,20.25
1/3/2014 15:00,4.263,20.05
1/3/2014 16:00,4.37,20.25
1/3/2014 17:00,4.308,20.95
1/3/2014 18:00,4.182,21.9
1/3/2014 19:00,4.075,21
1/3/2014 20:00,4.057,19.9
1/3/2014 21:00,3.791,19.25
1/3/2014 22:00,3.667,17.3
1/3/2014 23:00,4.036,16.3
1/4/2014 0:00,3.636,15.8
1/4/2014 1:00,3.283,15
1/4/2014 2:00,3.073,14.4
1/4/2014 3:00,3.003,14.05
1/4/2014 4:00,3.023,13.65
1/4/2014 5:00,3.113,13.5
1/4/2014 6:00,3.335,14.15
1/4/2014 7:00,3.484,15.3
1/4/2014 8:00,3.697,14.8
1/4/2014 9:00,3.723,17.05
1/4/2014 10:00,3.786,18.35
1/4/2014 11:00,3.763,19.45
1/4/2014 12:00,3.748,18.55
1/4/2014 13:00,3.714,18.65
1/4/2014 14:00,3.737,18.85
1/4/2014 15:00,3.828,19.8
1/4/2014 16:00,3.937,19.65
1/4/2014 17:00,3.929,18.9
1/4/2014 18:00,3.877,19.5
1/4/2014 19:00,3.829,17.7
1/4/2014 20:00,3.95,17.35
1/4/2014 21:00,3.756,16.95
1/4/2014 22:00,3.638,16.4
1/4/2014 23:00,4.045,15.95
1/5/2014 0:00,3.682,14.9
1/5/2014 1:00,3.283,14.25
1/5/2014 2:00,3.036,13.05
1/5/2014 3:00,2.933,12
1/5/2014 4:00,2.956,11.5
1/5/2014 5:00,2.959,10.95
1/5/2014 6:00,3.157,12.3
1/5/2014 7:00,3.236,16.1
1/5/2014 8:00,3.37,17.1
1/5/2014 9:00,3.493,19.6
1/5/2014 10:00,3.516,21.1
1/5/2014 11:00,3.555,22.6
1/5/2014 12:00,3.57,24.35
1/5/2014 13:00,3.656,25.25
1/5/2014 14:00,3.792,25.75
1/5/2014 15:00,3.95,20.35
1/5/2014 16:00,3.953,15.55
1/5/2014 17:00,3.926,18.3
1/5/2014 18:00,3.849,19.4
1/5/2014 19:00,3.813,19.25
1/5/2014 20:00,3.891,18.55
1/5/2014 21:00,3.683,17.7
1/5/2014 22:00,3.562,16.75
1/5/2014 23:00,3.936,15.8
1/6/2014 0:00,3.602,14.9
1/6/2014 1:00,3.271,14.05
1/6/2014 2:00,3.085,14.1
1/6/2014 3:00,3.041,13.5
1/6/2014 4:00,3.201,13
1/6/2014 5:00,3.57,12.95
1/6/2014 6:00,4.123,13.3
1/6/2014 7:00,4.307,13.9
1/6/2014 8:00,4.481,15.4
1/6/2014 9:00,4.533,16.75
1/6/2014 10:00,4.545,17.3
1/6/2014 11:00,4.524,17.75
1/6/2014 12:00,4.47,18.4
1/6/2014 13:00,4.457,18.5
1/6/2014 14:00,4.418,18.8
1/6/2014 15:00,4.453,19.45
1/6/2014 16:00,4.539,18.75
1/6/2014 17:00,4.473,18.4
1/6/2014 18:00,4.301,16.95
1/6/2014 19:00,4.26,15.8
1/6/2014 20:00,4.276,15.35
1/6/2014 21:00,3.958,15.25
1/6/2014 22:00,3.796,15.15
1/6/2014 23:00,4.18,14.9
1/7/2014 0:00,3.843,14.5
1/7/2014 1:00,3.465,14.6
1/7/2014 2:00,3.246,14.4
1/7/2014 3:00,3.203,14.15
1/7/2014 4:00,3.36,14.3
1/7/2014 5:00,3.808,14.5
1/7/2014 6:00,4.328,14.95
1/7/2014 7:00,4.509,15.55
1/7/2014 8:00,4.598,15.8
1/7/2014 9:00,4.562,15.55
1/7/2014 10:00,4.566,16.45
1/7/2014 11:00,4.532,17.5
1/7/2014 12:00,4.477,17.7
1/7/2014 13:00,4.442,18.75
1/7/2014 14:00,4.424,19.6
1/7/2014 15:00,4.486,19.9
1/7/2014 16:00,4.579,19.35
1/7/2014 17:00,4.466,19.55
1/7/2014 18:00,4.338,17.9
1/7/2014 19:00,4.27,16.4
1/7/2014 20:00,4.296,15.55
1/7/2014 21:00,4.034,14.9
1/7/2014 22:00,3.877,14.4
1/7/2014 23:00,4.246,13.95
1/8/2014 0:00,3.883,13.3
1/8/2014 1:00,3.52,12.95
1/8/2014 2:00,3.306,12.65
1/8/2014 3:00,3.252,12.45
1/8/2014 4:00,3.387,12.35
1/8/2014 5:00,3.784,12.15
1/8/2014 6:00,4.335,11.95
1/8/2014 7:00,4.465,14.15
1/8/2014 8:00,4.529,15.85
1/8/2014 9:00,4.536,17.75
1/8/2014 10:00,4.589,19.45
1/8/2014 11:00,4.66,22.15
1/8/2014 12:00,4.691,23.85
1/8/2014 13:00,4.747,23.45
1/8/2014 14:00,4.819,24.95
1/8/2014 15:00,4.95,26.85
1/8/2014 16:00,4.994,26.1
1/8/2014 17:00,4.798,25.15
1/8/2014 18:00,4.54,23.25
1/8/2014 19:00,4.352,21.3
1/8/2014 20:00,4.37,19.85
1/8/2014 21:00,4.047,18.9
1/8/2014 22:00,3.87,18.25
1/8/2014 23:00,4.245,17.45
1/9/2014 0:00,3.848,17.1
1/9/2014 1:00,3.509,16.4
1/9/2014 2:00,3.302,15.55
1/9/2014 3:00,3.258,15.05
1/9/2014 4:00,3.419,14.4
1/9/2014 5:00,3.809,14.55
1/9/2014 6:00,4.363,15.15
1/9/2014 7:00,4.605,17.05
1/9/2014 8:00,4.793,18.85
1/9/2014 9:00,4.908,20.85
1/9/2014 10:00,5.04,24.25
1/9/2014 11:00,5.204,27.7
1/9/2014 12:00,5.358,28.4
1/9/2014 13:00,5.538,30.75
1/9/2014 14:00,5.708,30.7
1/9/2014 15:00,5.888,32.2
1/9/2014 16:00,5.966,31.75
1/9/2014 17:00,5.817,30.65
1/9/2014 18:00,5.571,29.75
1/9/2014 19:00,5.321,28.85
1/9/2014 20:00,5.141,27.85
1/9/2014 21:00,4.686,25.95
1/9/2014 22:00,4.367,24.7
1/9/2014 23:00,4.618,24.85
1/10/2014 0:00,4.158,24.05
1/10/2014 1:00,3.771,23.85
1/10/2014 2:00,3.555,23.5
1/10/2014 3:00,3.497,22.95
1/10/2014 4:00,3.646,22.2
1/10/2014 5:00,4.053,21.75
1/10/2014 6:00,4.687,22.35
1/10/2014 7:00,5.052,24.05
1/10/2014 8:00,5.342,25.15
1/10/2014 9:00,5.586,27.1
1/10/2014 10:00,5.808,28.05
1/10/2014 11:00,6.038,29.75
1/10/2014 12:00,6.296,31.25
1/10/2014 13:00,6.548,31.9
1/10/2014 14:00,6.787,32.95
1/10/2014 15:00,6.982,33.15
1/10/2014 16:00,7.035,33.95
1/10/2014 17:00,6.855,33.85
1/10/2014 18:00,6.561,33.25
1/10/2014 19:00,6.181,32.5
1/10/2014 20:00,5.899,31.5
1/10/2014 21:00,5.304,28.3
1/10/2014 22:00,4.795,23.9
1/10/2014 23:00,4.862,22.9
1/11/2014 0:00,4.264,22.3
1/11/2014 1:00,3.82,21.25
1/11/2014 2:00,3.588,20.5
1/11/2014 3:00,3.481,19.85
1/11/2014 4:00,3.514,18.85
1/11/2014 5:00,3.632,18.3
1/11/2014 6:00,3.857,18.1
1/11/2014 7:00,4.116,18.2
1/11/2014 8:00,4.375,18.15
1/11/2014 9:00,4.462,18
1/11/2014 10:00,4.46,17.7
1/11/2014 11:00,4.422,18.25
1/11/2014 12:00,4.398,19.7
1/11/2014 13:00,4.407,20.75
1/11/2014 14:00,4.48,21.8
1/11/2014 15:00,4.621,21.5
1/11/2014 16:00,4.732,21.6
1/11/2014 17:00,4.735,20.8
1/11/2014 18:00,4.572,19.4
1/11/2014 19:00,4.385,18.4
1/11/2014 20:00,4.323,17.9
1/11/2014 21:00,4.069,17.6
1/11/2014 22:00,3.94,17.55
1/11/2014 23:00,4.247,17.55
1/12/2014 0:00,3.821,17.65
1/12/2014 1:00,3.416,17.4
1/12/2014 2:00,3.22,17.15
1/12/2014 3:00,3.124,16.8
1/12/2014 4:00,3.132,17
1/12/2014 5:00,3.181,16.9
1/12/2014 6:00,3.337,17.2
1/12/2014 7:00,3.469,17.35
1/12/2014 8:00,3.668,17.65
1/12/2014 9:00,3.788,17.8
1/12/2014 10:00,3.834,18.4
1/12/2014 11:00,3.894,19.3
1/12/2014 12:00,3.964,20.2
1/12/2014 13:00,4.109,21.05
1/12/2014 14:00,4.275,21.7
1/12/2014 15:00,4.472,21.8
1/12/2014 16:00,4.623,21.8
1/12/2014 17:00,4.703,21.5
1/12/2014 18:00,4.594,20
1/12/2014 19:00,4.447,19.3
1/12/2014 20:00,4.459,18.2
1/12/2014 21:00,4.137,18.1
1/12/2014 22:00,3.913,17.7
1/12/2014 23:00,4.231,16.95
1/13/2014 0:00,3.833,16.25
1/13/2014 1:00,3.475,15.6
1/13/2014 2:00,3.302,15.5
1/13/2014 3:00,3.279,15.3
1/13/2014 4:00,3.519,15.45
1/13/2014 5:00,3.975,15.5
1/13/2014 6:00,4.6,15.75
1/13/2014 7:00,4.864,17.35
1/13/2014 8:00,5.104,19.15
1/13/2014 9:00,5.308,21.65
1/13/2014 10:00,5.542,24.7
1/13/2014 11:00,5.759,25.2
1/13/2014 12:00,6.005,24.3
1/13/2014 13:00,6.285,26.9
1/13/2014 14:00,6.617,28.1
1/13/2014 15:00,6.993,29.45
1/13/2014 16:00,7.207,29.85
1/13/2014 17:00,7.095,29.45
1/13/2014 18:00,6.839,26.35
1/13/2014 19:00,6.387,27.05
1/13/2014 20:00,6.048,25.7
1/13/2014 21:00,5.433,25.15
1/13/2014 22:00,4.904,23.85
1/13/2014 23:00,4.959,22.45
1/14/2014 0:00,4.425,21.45
1/14/2014 1:00,4.053,20.85
1/14/2014 2:00,3.843,20.7
1/14/2014 3:00,3.823,21.3
1/14/2014 4:00,4.017,21.55
1/14/2014 5:00,4.521,20.8
1/14/2014 6:00,5.229,22.3
1/14/2014 7:00,5.802,26.3
1/14/2014 8:00,6.449,32.6
1/14/2014 9:00,6.975,35.15
1/14/2014 10:00,7.506,36.8
1/14/2014 11:00,7.973,38.15
1/14/2014 12:00,8.359,39.95
1/14/2014 13:00,8.596,40.85
1/14/2014 14:00,8.794,41.25
1/14/2014 15:00,9.03,42.3
1/14/2014 16:00,9.09,41.95
1/14/2014 17:00,8.885,41.35
1/14/2014 18:00,8.525,40.6
1/14/2014 19:00,8.147,36.35
1/14/2014 20:00,7.797,36.15
1/14/2014 21:00,6.938,34.6
1/14/2014 22:00,6.215,34.05
1/14/2014 23:00,6.123,35.4
1/15/2014 0:00,5.495,36.3
1/15/2014 1:00,5.14,35.55
1/15/2014 2:00,4.896,33.7
1/15/2014 3:00,4.812,30.65
1/15/2014 4:00,5.024,29.45
1/15/2014 5:00,5.536,29.5
1/15/2014 6:00,6.293,31
1/15/2014 7:00,7,33.3
1/15/2014 8:00,7.633,35.7
1/15/2014 9:00,8.03,36.65
1/15/2014 10:00,8.459,37.65
1/15/2014 11:00,8.768,39.4
1/15/2014 12:00,9,40.6
1/15/2014 13:00,9.113,40.25
1/15/2014 14:00,9.155,37.55
1/15/2014 15:00,9.173,37.3
1/15/2014 16:00,9.039,35.4
1/15/2014 17:00,8.606,32.75
1/15/2014 18:00,8.095,31.2
1/15/2014 19:00,7.617,29.6
1/15/2014 20:00,7.208,28.35
1/15/2014 21:00,6.448,27.5
1/15/2014 22:00,5.74,28.75
1/15/2014 23:00,5.718,28.9
1/16/2014 0:00,5.106,29.9
1/16/2014 1:00,4.763,28.7
1/16/2014 2:00,4.61,28.65
1/16/2014 3:00,4.566,28.15
1/16/2014 4:00,4.737,28.25
1/16/2014 5:00,5.204,27.65
1/16/2014 6:00,5.988,27.8
1/16/2014 7:00,6.698,29.45
1/16/2014 8:00,7.438,32.5
1/16/2014 9:00,8.04,35.75
1/16/2014 10:00,8.484,38.85
1/16/2014 11:00,8.837,39.9
1/16/2014 12:00,9.052,41.1
1/16/2014 13:00,9.114,41.8
1/16/2014 14:00,9.214,42.75
1/16/2014 15:00,9.307,39.9
1/16/2014 16:00,9.313,39.75
1/16/2014 17:00,9.006,40.8
1/16/2014 18:00,8.556,37.95
1/16/2014 19:00,8.275,31.25
1/16/2014 20:00,7.911,34.6
1/16/2014 21:00,7.077,30.25
1/16/2014 22:00,6.348,28.5
1/16/2014 23:00,6.175,27.9
1/17/2014 0:00,5.455,27.95
1/17/2014 1:00,5.041,27.3
1/17/2014 2:00,4.759,26.9
1/17/2014 3:00,4.683,26.8
1/17/2014 4:00,4.908,26.05
1/17/2014 5:00,5.411,26.1
1/17/2014 6:00,6.199,27.7
1/17/2014 7:00,6.923,31.85
1/17/2014 8:00,7.593,34.85
1/17/2014 9:00,8.09,36.35
1/17/2014 10:00,8.497,38
1/17/2014 11:00,8.843,39.2
1/17/2014 12:00,9.058,41.05
1/17/2014 13:00,9.159,41.6
1/17/2014 14:00,9.231,42.35
1/17/2014 15:00,9.253,43.1
1/17/2014 16:00,8.852,33.5
1/17/2014 17:00,7.994,30.7
1/17/2014 18:00,7.388,29.1
1/17/2014 19:00,6.735,26.4
1/17/2014 20:00,6.264,23.9
1/17/2014 21:00,5.69,24.7
1/17/2014 22:00,5.227,24.35
1/17/2014 23:00,5.22,23.45
1/18/2014 0:00,4.593,23.45
1/18/2014 1:00,4.213,23.55
1/18/2014 2:00,3.984,23.05
1/18/2014 3:00,3.891,22.2
1/18/2014 4:00,3.919,22.1
1/18/2014 5:00,4.031,22
1/18/2014 6:00,4.287,21.9
1/18/2014 7:00,4.558,22.05
1/18/2014 8:00,4.872,22.55
1/18/2014 9:00,4.963,22.85
1/18/2014 10:00,5.004,22.45
1/18/2014 11:00,5.017,22.25
1/18/2014 12:00,5.057,22.65
1/18/2014 13:00,5.064,22.35
1/18/2014 14:00,5,21.9
1/18/2014 15:00,5.023,21
1/18/2014 16:00,5.007,20.95
1/18/2014 17:00,4.923,20.2
1/18/2014 18:00,4.74,19.7
1/18/2014 19:00,4.586,19.4
1/18/2014 20:00,4.517,19.2
1/18/2014 21:00,4.236,18.65
1/18/2014 22:00,4.055,18.15
1/18/2014 23:00,4.337,18.15
1/19/2014 0:00,3.848,17.65
1/19/2014 1:00,3.473,17.35
1/19/2014 2:00,3.273,17.15
1/19/2014 3:00,3.198,16.8
1/19/2014 4:00,3.204,16.75
1/19/2014 5:00,3.252,16.4
1/19/2014 6:00,3.404,16.5
1/19/2014 7:00,3.56,16.7
1/19/2014 8:00,3.767,17.3
1/19/2014 9:00,3.896,17.75
1/19/2014 10:00,3.934,19.2
1/19/2014 11:00,3.972,20.4
1/19/2014 12:00,3.985,20.9
1/19/2014 13:00,4.032,21.45
1/19/2014 14:00,4.122,22
1/19/2014 15:00,4.239,22.1
1/19/2014 16:00,4.389,21.6
1/19/2014 17:00,4.499,21.7
1/19/2014 18:00,4.406,20.5
1/19/2014 19:00,4.356,19.85
1/19/2014 20:00,4.396,19.75
1/19/2014 21:00,4.106,19.5
1/19/2014 22:00,3.914,19.2
1/19/2014 23:00,4.265,19.8
1/20/2014 0:00,3.862,19.5
1/20/2014 1:00,3.546,19.2
1/20/2014 2:00,3.36,19.2
1/20/2014 3:00,3.359,19.15
1/20/2014 4:00,3.649,19.05
1/20/2014 5:00,4.18,19.1
1/20/2014 6:00,4.813,19.25
1/20/2014 7:00,5.086,19.55
1/20/2014 8:00,5.301,20.2
1/20/2014 9:00,5.384,20.55
1/20/2014 10:00,5.434,21.45
1/20/2014 11:00,5.47,23.15
1/20/2014 12:00,5.529,23.5
1/20/2014 13:00,5.582,23.4
1/20/2014 14:00,5.618,23.5
1/20/2014 15:00,5.636,23.3
1/20/2014 16:00,5.561,22.85
1/20/2014 17:00,5.291,22.25
1/20/2014 18:00,5,20.95
1/20/2014 19:00,4.84,19.75
1/20/2014 20:00,4.767,19.45
1/20/2014 21:00,4.364,18.9
1/20/2014 22:00,4.16,18.45
1/20/2014 23:00,4.452,17.95
1/21/2014 0:00,4.011,17.55
1/21/2014 1:00,3.673,17.3
1/21/2014 2:00,3.503,16.95
1/21/2014 3:00,3.483,16.9
1/21/2014 4:00,3.695,16.85
1/21/2014 5:00,4.213,17.1
1/21/2014 6:00,4.81,17.25
1/21/2014 7:00,5.028,17.4
1/21/2014 8:00,5.149,17.85
1/21/2014 9:00,5.182,18.1
1/21/2014 10:00,5.208,18.6
1/21/2014 11:00,5.179,19.7
1/21/2014 12:00,5.19,21
1/21/2014 13:00,5.22,21.4
1/21/2014 14:00,5.202,22.65
1/21/2014 15:00,5.216,22.55
1/21/2014 16:00,5.232,22
1/21/2014 17:00,5.019,21.05
1/21/2014 18:00,4.828,19.55
1/21/2014 19:00,4.686,18.55
1/21/2014 20:00,4.657,18.3
1/21/2014 21:00,4.304,17.75
1/21/2014 22:00,4.106,17.8
1/21/2014 23:00,4.389,17.65
1/22/2014 0:00,3.955,17.8
1/22/2014 1:00,3.643,17.45
1/22/2014 2:00,3.489,16.95
1/22/2014 3:00,3.479,16.5
1/22/2014 4:00,3.695,16.9
1/22/2014 5:00,4.187,17.05
1/22/2014 6:00,4.732,16.75
1/22/2014 7:00,4.898,17.3
1/22/2014 8:00,4.997,18.8
1/22/2014 9:00,5.001,19.35
1/22/2014 10:00,5.022,20.75
1/22/2014 11:00,5.052,21.4
1/22/2014 12:00,5.094,21.9
1/22/2014 13:00,5.143,21.95
1/22/2014 14:00,5.178,22.8
1/22/2014 15:00,5.25,22.75
1/22/2014 16:00,5.255,23.2
1/22/2014 17:00,5.075,22.65
1/22/2014 18:00,4.867,20.8
1/22/2014 19:00,4.691,19.25
1/22/2014 20:00,4.665,17.8
1/22/2014 21:00,4.352,16.95
1/22/2014 22:00,4.121,16.55
1/22/2014 23:00,4.391,16.05
1/23/2014 0:00,3.966,15.75
1/23/2014 1:00,3.615,15.15
1/23/2014 2:00,3.437,14.7
1/23/2014 3:00,3.43,14.15
1/23/2014 4:00,3.666,13.9
1/23/2014 5:00,4.149,13.9
1/23/2014 6:00,4.674,14
1/23/2014 7:00,4.851,15.8
1/23/2014 8:00,5.011,17.65
1/23/2014 9:00,5.105,19.7
1/23/2014 10:00,5.242,22.5
1/23/2014 11:00,5.378,25.3
1/23/2014 12:00,5.576,24.3
1/23/2014 13:00,5.79,24.65
1/23/2014 14:00,6.03,26.45
1/23/2014 15:00,6.254,27.25
1/23/2014 16:00,6.34,26.55
1/23/2014 17:00,6.253,28.8
1/23/2014 18:00,6.039,27.85
1/23/2014 19:00,5.736,25.2
1/23/2014 20:00,5.49,24.75
1/23/2014 21:00,4.936,23.75
1/23/2014 22:00,4.58,22.55
1/23/2014 23:00,4.742,22.35
1/24/2014 0:00,4.23,21.7
1/24/2014 1:00,3.895,21.3
1/24/2014 2:00,3.712,20.3
1/24/2014 3:00,3.7,20.05
1/24/2014 4:00,3.906,20.5
1/24/2014 5:00,4.364,21.25
1/24/2014 6:00,4.962,20.85
1/24/2014 7:00,5.261,21
1/24/2014 8:00,5.463,19.4
1/24/2014 9:00,5.495,18.9
1/24/2014 10:00,5.477,18.15
1/24/2014 11:00,5.394,18.65
1/24/2014 12:00,5.25,20.2
1/24/2014 13:00,5.159,20
1/24/2014 14:00,5.081,21.65
1/24/2014 15:00,5.083,21.95
1/24/2014 16:00,5.038,21.15
1/24/2014 17:00,4.857,20.4
1/24/2014 18:00,4.643,19.5
1/24/2014 19:00,4.526,19.15
1/24/2014 20:00,4.428,18.4
1/24/2014 21:00,4.141,18.05
1/24/2014 22:00,3.975,17.75
1/24/2014 23:00,4.29,17.6
1/25/2014 0:00,3.809,17.15
1/25/2014 1:00,3.423,16.75
1/25/2014 2:00,3.217,16.35
1/25/2014 3:00,3.132,16.25
1/25/2014 4:00,3.192,15.9
1/25/2014 5:00,3.343,15.85
1/25/2014 6:00,3.606,15.9
1/25/2014 7:00,3.803,16.2
1/25/2014 8:00,3.963,18.5
1/25/2014 9:00,3.998,18.75
1/25/2014 10:00,3.962,18.8
1/25/2014 11:00,3.894,19.85
1/25/2014 12:00,3.814,19.75
1/25/2014 13:00,3.776,19.6
1/25/2014 14:00,3.808,19.3
1/25/2014 15:00,3.914,20
1/25/2014 16:00,4.033,20.25
1/25/2014 17:00,4.079,19.7
1/25/2014 18:00,4.027,18.6
1/25/2014 19:00,3.974,17.4
1/25/2014 20:00,4.057,17.1
1/25/2014 21:00,3.859,16.65
1/25/2014 22:00,3.759,16.25
1/25/2014 23:00,4.132,16.25
1/26/2014 0:00,3.716,15.8
1/26/2014 1:00,3.325,15.35
1/26/2014 2:00,3.111,14.8
1/26/2014 3:00,3.03,14.25
1/26/2014 4:00,3.046,13.5
1/26/2014 5:00,3.096,13.4
1/26/2014 6:00,3.254,14.35
1/26/2014 7:00,3.39,15.8
1/26/2014 8:00,3.606,17.7
1/26/2014 9:00,3.718,19
1/26/2014 10:00,3.755,21.05
1/26/2014 11:00,3.768,22.2
1/26/2014 12:00,3.768,22.45
1/26/2014 13:00,3.834,24.95
1/26/2014 14:00,3.957,24.75
1/26/2014 15:00,4.199,25.05
1/26/2014 16:00,4.393,26.4
1/26/2014 17:00,4.532,26.2
1/26/2014 18:00,4.516,26.5
1/26/2014 19:00,4.38,25.85
1/26/2014 20:00,4.39,24.4
1/26/2014 21:00,4.142,23.6
1/26/2014 22:00,3.954,22.65
1/26/2014 23:00,4.233,21.5
1/27/2014 0:00,3.795,20.15
1/27/2014 1:00,3.425,19.9
1/27/2014 2:00,3.209,18.85
1/27/2014 3:00,3.124,18.7
1/27/2014 4:00,3.177,18.75
1/27/2014 5:00,3.288,18.65
1/27/2014 6:00,3.498,20.05
1/27/2014 7:00,3.715,23.45
1/27/2014 8:00,4.092,24.9
1/27/2014 9:00,4.383,26.45
1/27/2014 10:00,4.644,28.55
1/27/2014 11:00,4.909,30.6
1/27/2014 12:00,5.184,31.55
1/27/2014 13:00,5.518,32.8
1/27/2014 14:00,5.889,33.5
1/27/2014 15:00,6.288,33.7
1/27/2014 16:00,6.643,34.45
1/27/2014 17:00,6.729,34.2
1/27/2014 18:00,6.567,33.65
1/27/2014 19:00,6.179,32.9
1/27/2014 20:00,5.903,31.75
1/27/2014 21:00,5.278,30.5
1/27/2014 22:00,4.788,29.25
1/27/2014 23:00,4.885,28.1
1/28/2014 0:00,4.363,26.45
1/28/2014 1:00,4.011,25.4
1/28/2014 2:00,3.823,25.4
1/28/2014 3:00,3.762,25.15
1/28/2014 4:00,3.998,25.4
1/28/2014 5:00,4.598,25.1
1/28/2014 6:00,5.349,25.95
1/28/2014 7:00,5.898,28.1
1/28/2014 8:00,6.487,30.4
1/28/2014 9:00,6.941,32
1/28/2014 10:00,7.381,33.75
1/28/2014 11:00,7.796,34.7
1/28/2014 12:00,8.185,35.8
1/28/2014 13:00,8.522,37
1/28/2014 14:00,8.825,39.05
1/28/2014 15:00,9.103,39.75
1/28/2014 16:00,9.198,41.2
1/28/2014 17:00,8.889,41.05
1/28/2014 18:00,8.174,36.05
1/28/2014 19:00,7.214,28.25
1/28/2014 20:00,6.481,24.45
1/28/2014 21:00,5.611,23.15
1/28/2014 22:00,5.026,22.05
